Date,gold_prices
6/22/2020,898
6/23/2020,908
6/24/2020,908
6/25/2020,905
6/26/2020,903
6/27/2020,908
6/28/2020,908
6/29/2020,910
6/30/2020,912
7/1/2020,907
7/2/2020,910
7/3/2020,908
7/4/2020,908
7/5/2020,908
7/6/2020,908
7/7/2020,908
7/8/2020,917
7/9/2020,914
7/10/2020,914
7/11/2020,914
7/12/2020,914
7/13/2020,914
7/14/2020,914
7/15/2020,917
7/16/2020,917
7/17/2020,917
7/18/2020,920
7/19/2020,920
7/20/2020,923
7/21/2020,937
7/22/2020,951
7/23/2020,963
7/24/2020,968
7/25/2020,969
7/26/2020,971
7/27/2020,992
7/28/2020,999
7/29/2020,1001
7/30/2020,998
7/31/2020,1001
8/1/2020,1006
8/2/2020,1006
8/3/2020,1006
8/4/2020,1034
8/5/2020,1046
8/6/2020,1056
8/7/2020,1040
8/8/2020,1040
8/9/2020,1040
8/10/2020,1034
8/11/2020,971
8/12/2020,971
8/13/2020,992
8/14/2020,983
8/15/2020,983
8/16/2020,978
8/17/2020,1002
8/18/2020,1010
8/19/2020,985
8/20/2020,978
8/21/2020,980
8/22/2020,980
8/23/2020,978
8/24/2020,974
8/25/2020,963
8/26/2020,978
8/27/2020,969
8/28/2020,985
8/29/2020,984
8/30/2020,984
8/31/2020,986
9/1/2020,992
9/2/2020,975
9/3/2020,968
9/4/2020,967
9/5/2020,969
9/6/2020,969
9/7/2020,963
9/8/2020,967
9/9/2020,971
9/10/2020,978
9/11/2020,971
9/12/2020,971
9/13/2020,967
9/14/2020,977
9/15/2020,977
9/16/2020,977
9/17/2020,969
9/18/2020,974
9/19/2020,971
9/20/2020,971
9/21/2020,951
9/22/2020,955
9/23/2020,937
9/24/2020,937
9/25/2020,931
9/26/2020,931
9/27/2020,931
9/28/2020,937
9/29/2020,947
9/30/2020,946
10/1/2020,951
10/2/2020,951
10/3/2020,948
10/4/2020,948
10/5/2020,951
10/6/2020,937
10/7/2020,937
10/8/2020,943
10/9/2020,956
10/10/2020,956
10/11/2020,956
10/12/2020,954
10/13/2020,940
10/14/2020,948
10/15/2020,943
10/16/2020,948
10/17/2020,943
10/18/2020,943
10/19/2020,948
10/20/2020,951
10/21/2020,961
10/22/2020,951
10/23/2020,947
10/24/2020,948
10/25/2020,948
10/26/2020,948
10/27/2020,948
10/28/2020,940
10/29/2020,940
10/30/2020,940
10/31/2020,940
11/1/2020,940
11/2/2020,945
11/3/2020,948
11/4/2020,953
11/5/2020,967
11/6/2020,967
11/7/2020,971
11/8/2020,971
11/9/2020,929
11/10/2020,937
11/11/2020,934
11/12/2020,937
11/13/2020,943
11/14/2020,943
11/15/2020,943
11/16/2020,937
11/17/2020,937
11/18/2020,936
11/19/2020,926
11/20/2020,931
11/21/2020,931
11/22/2020,931
11/23/2020,912
11/24/2020,902
11/25/2020,902
11/26/2020,903
11/27/2020,886
11/28/2020,886
11/29/2020,889
11/30/2020,886
12/1/2020,900
12/2/2020,912
12/3/2020,918
12/4/2020,917
12/5/2020,917
12/6/2020,917
12/7/2020,921
12/8/2020,928
12/9/2020,914
12/10/2020,920
12/11/2020,914
12/12/2020,918
12/13/2020,918
12/14/2020,914
12/15/2020,926
12/16/2020,926
12/17/2020,940
12/18/2020,940
12/19/2020,937
12/20/2020,937
12/21/2020,937
12/22/2020,930
12/23/2020,931
12/24/2020,931
12/25/2020,931
12/26/2020,935
12/27/2020,935
12/28/2020,940
12/29/2020,936
12/30/2020,936
12/31/2020,944
1/1/2021,946
1/2/2021,945
1/3/2021,945
1/4/2021,963
1/5/2021,966
1/6/2021,951
1/7/2021,951
1/8/2021,943
1/9/2021,926
1/10/2021,926
1/11/2021,923
1/12/2021,920
1/13/2021,923
1/14/2021,923
1/15/2021,918
1/16/2021,918
1/17/2021,915
1/18/2021,917
1/19/2021,921
1/20/2021,931
1/21/2021,934
1/22/2021,928
1/23/2021,928
1/24/2021,928
1/25/2021,931
1/26/2021,929
1/27/2021,926
1/28/2021,926
1/29/2021,931
1/30/2021,931
1/31/2021,931
2/1/2021,934
2/2/2021,923
2/3/2021,923
2/4/2021,902
2/5/2021,910
2/6/2021,908
2/7/2021,908
2/8/2021,915
2/9/2021,914
2/10/2021,918
2/11/2021,911
2/12/2021,908
2/13/2021,907
2/14/2021,908
2/15/2021,907
2/16/2021,898
2/17/2021,890
2/18/2021,890
2/19/2021,894
2/20/2021,894
2/21/2021,894
2/22/2021,904
2/23/2021,904
2/24/2021,897
2/25/2021,893
2/26/2021,874
2/27/2021,878
2/28/2021,878
3/1/2021,874
3/2/2021,874
3/3/2021,864
3/4/2021,864
3/5/2021,857
3/6/2021,857
3/7/2021,857
3/8/2021,852
3/9/2021,865
3/10/2021,871
3/11/2021,871
3/12/2021,869
3/13/2021,874
3/14/2021,874
3/15/2021,875
3/16/2021,874
3/17/2021,874
3/18/2021,871
3/19/2021,871
3/20/2021,877
3/21/2021,877
3/22/2021,874
3/23/2021,875
3/24/2021,875
3/25/2021,874
3/26/2021,871
3/27/2021,871
3/28/2021,871
3/29/2021,863
3/30/2021,849
3/31/2021,859
4/1/2021,863
4/2/2021,863
4/3/2021,866
4/4/2021,866
4/5/2021,864
4/6/2021,869
4/7/2021,869
4/8/2021,874
4/9/2021,871
4/10/2021,871
4/11/2021,871
4/12/2021,866
4/13/2021,866
4/14/2021,871
4/15/2021,875
4/16/2021,881
4/17/2021,881
4/18/2021,881
4/19/2021,886
4/20/2021,886
4/21/2021,890
4/22/2021,890
4/23/2021,894
4/24/2021,894
4/25/2021,894
4/26/2021,894
4/27/2021,894
4/28/2021,894
4/29/2021,888
4/30/2021,888
5/1/2021,888
5/2/2021,888
5/3/2021,888
5/4/2021,888
5/5/2021,889
5/6/2021,889
5/7/2021,904
5/8/2021,904
5/9/2021,905
5/10/2021,907
5/11/2021,905
5/12/2021,905
5/13/2021,905
5/14/2021,904
5/15/2021,906
5/16/2021,906
5/17/2021,913
5/18/2021,914
5/19/2021,920
5/20/2021,918
5/21/2021,921
5/22/2021,923
5/23/2021,923
5/24/2021,926
5/25/2021,930
5/26/2021,930
5/27/2021,928
5/28/2021,931
5/29/2021,934
5/30/2021,934
5/31/2021,935
6/1/2021,931
6/2/2021,931
6/3/2021,921
6/4/2021,926
6/5/2021,926
6/6/2021,926
6/7/2021,928
6/8/2021,927
6/9/2021,928
6/10/2021,923
6/11/2021,922
6/12/2021,922
6/13/2021,922
6/14/2021,914
6/15/2021,911
6/16/2021,893
6/17/2021,875
6/18/2021,875
6/19/2021,875
6/20/2021,875
6/21/2021,880
6/22/2021,880
6/23/2021,882
6/24/2021,882
6/25/2021,886
6/26/2021,889
6/27/2021,889
6/28/2021,889
6/29/2021,886
6/30/2021,887
7/1/2021,887
7/2/2021,890
7/3/2021,891
7/4/2021,891
7/5/2021,891
7/6/2021,897
7/7/2021,897
7/8/2021,900
7/9/2021,897
7/10/2021,897
7/11/2021,897
7/12/2021,900
7/13/2021,900
7/14/2021,907
7/15/2021,910
7/16/2021,907
7/17/2021,905
7/18/2021,905
7/19/2021,902
7/20/2021,904
7/21/2021,900
7/22/2021,903
7/23/2021,902
7/24/2021,902
7/25/2021,902
7/26/2021,902
7/27/2021,900
7/28/2021,902
7/29/2021,912
7/30/2021,908
7/31/2021,908
8/1/2021,908
8/2/2021,906
8/3/2021,906
8/4/2021,910
8/5/2021,905
8/6/2021,888
8/7/2021,888
8/8/2021,888
8/9/2021,871
8/10/2021,871
8/11/2021,880
8/12/2021,881
8/13/2021,893
8/14/2021,893
8/15/2021,893
8/16/2021,894
8/17/2021,898
8/18/2021,898
8/19/2021,897
8/20/2021,897
8/21/2021,894
8/22/2021,894
8/23/2021,904
8/24/2021,904
8/25/2021,897
8/26/2021,897
8/27/2021,905
8/28/2021,905
8/29/2021,905
8/30/2021,904
8/31/2021,904
9/1/2021,904
9/2/2021,900
9/3/2021,906
9/4/2021,904
9/5/2021,904
9/6/2021,902
9/7/2021,896
9/8/2021,894
9/9/2021,897
9/10/2021,897
9/11/2021,897
9/12/2021,897
9/13/2021,896
9/14/2021,900
9/15/2021,900
9/16/2021,883
9/17/2021,881
9/18/2021,881
9/19/2021,881
9/20/2021,883
9/21/2021,891
9/22/2021,889
9/23/2021,877
9/24/2021,880
9/25/2021,880
9/26/2021,880
9/27/2021,880
9/28/2021,880
9/29/2021,872
9/30/2021,880
10/1/2021,882
10/2/2021,882
10/3/2021,882
10/4/2021,882
10/5/2021,882
10/6/2021,882
10/7/2021,882
10/8/2021,883
10/9/2021,883
10/10/2021,883
10/11/2021,880
10/12/2021,882
10/13/2021,896
10/14/2021,898
10/15/2021,888
10/16/2021,888
10/17/2021,888
10/18/2021,888
10/19/2021,889
10/20/2021,888
10/21/2021,888
10/22/2021,891
10/23/2021,891
10/24/2021,891
10/25/2021,898
10/26/2021,891
10/27/2021,891
10/28/2021,894
10/29/2021,889
10/30/2021,889
10/31/2021,889
11/1/2021,889
11/2/2021,893
11/3/2021,886
11/4/2021,893
11/5/2021,897
11/6/2021,897
11/7/2021,897
11/8/2021,898
11/9/2021,900
11/10/2021,913
11/11/2021,926
11/12/2021,930
11/13/2021,928
11/14/2021,928
11/15/2021,930
11/16/2021,926
11/17/2021,929
11/18/2021,930
11/19/2021,930
11/20/2021,922
11/21/2021,922
11/22/2021,912
11/23/2021,905
11/24/2021,896
11/25/2021,900
11/26/2021,907
11/27/2021,900
11/28/2021,900
11/29/2021,904
11/30/2021,894
12/1/2021,897
12/2/2021,890
12/3/2021,896
12/4/2021,896
12/5/2021,896
12/6/2021,896
12/7/2021,896
12/8/2021,896
12/9/2021,893
12/10/2021,896
12/11/2021,894
12/12/2021,894
12/13/2021,894
12/14/2021,894
12/15/2021,889
12/16/2021,900
12/17/2021,903
12/18/2021,900
12/19/2021,900
12/20/2021,900
12/21/2021,900
12/22/2021,900
12/23/2021,903
12/24/2021,903
12/25/2021,903
12/26/2021,903
12/27/2021,903
12/28/2021,906
12/29/2021,903
12/30/2021,904
12/31/2021,908
1/1/2022,912
1/2/2022,912
1/3/2022,906
1/4/2022,905
1/5/2022,913
1/6/2022,898
1/7/2022,898
1/8/2022,898
1/9/2022,898
1/10/2022,900
1/11/2022,910
1/12/2022,908
1/13/2022,910
1/14/2022,910
1/15/2022,908
1/16/2022,908
1/17/2022,908
1/18/2022,906
1/19/2022,918
1/20/2022,920
1/21/2022,917
1/22/2022,917
1/23/2022,917
1/24/2022,919
1/25/2022,922
1/26/2022,922
1/27/2022,904
1/28/2022,897
1/29/2022,900
1/30/2022,900
1/31/2022,902
2/1/2022,902
2/2/2022,905
2/3/2022,905
2/4/2022,908
2/5/2022,905
2/6/2022,905
2/7/2022,908
2/8/2022,911
2/9/2022,911
2/10/2022,915
2/11/2022,930
2/12/2022,929
2/13/2022,929
2/14/2022,929
2/15/2022,926
2/16/2022,926
2/17/2022,947
2/18/2022,947
2/19/2022,949
2/20/2022,950
2/21/2022,947
2/22/2022,947
2/23/2022,947
2/24/2022,963
2/25/2022,947
2/26/2022,947
2/27/2022,951
2/28/2022,954
3/1/2022,966
3/2/2022,966
3/3/2022,971
3/4/2022,982
3/5/2022,991
3/6/2022,990
3/7/2022,989
3/8/2022,1023
3/9/2022,1007
3/10/2022,1007
3/11/2022,1011
3/12/2022,1014
3/13/2022,1014
3/14/2022,1019
3/15/2022,1011
3/16/2022,1011
3/17/2022,1023
3/18/2022,1019
3/19/2022,1019
3/20/2022,1019
3/21/2022,1171
3/22/2022,1166
3/23/2022,1131
3/24/2022,1139
3/25/2022,1131
3/26/2022,1131
3/27/2022,1131
3/28/2022,1126
3/29/2022,1114
3/30/2022,1114
3/31/2022,1120
4/1/2022,1109
4/2/2022,1109
4/3/2022,1109
4/4/2022,1109
4/5/2022,1126
4/6/2022,1118
4/7/2022,1126
4/8/2022,1135
4/9/2022,1137
4/10/2022,1146
4/11/2022,1162
4/12/2022,1171
4/13/2022,1166
4/14/2022,1166
4/15/2022,1166
4/16/2022,1166
4/17/2022,1166
4/18/2022,1197
4/19/2022,1211
4/20/2022,1269
4/21/2022,1252
4/22/2022,1252
4/23/2022,1252
4/24/2022,1252
4/25/2022,1252
4/26/2022,1269
4/27/2022,1269
4/28/2022,1252
4/29/2022,1286
4/30/2022,1297
5/1/2022,1326
5/2/2022,1297
5/3/2022,1314
5/4/2022,1331
5/5/2022,1394
5/6/2022,1429
5/7/2022,1383
5/8/2022,1383
5/9/2022,1383
5/10/2022,1343
5/11/2022,1343
5/12/2022,1303
5/13/2022,1286
5/14/2022,1274
5/15/2022,1246
5/16/2022,1234
5/17/2022,1223
5/18/2022,1200
5/19/2022,1200
5/20/2022,1160
5/21/2022,1166
5/22/2022,1166
5/23/2022,1200
5/24/2022,1200
5/25/2022,1206
5/26/2022,1200
5/27/2022,1200
5/28/2022,1188
5/29/2022,1188
5/30/2022,1171
5/31/2022,1154
6/1/2022,1149
6/2/2022,1160
6/3/2022,1160
6/4/2022,1149
6/5/2022,1149
6/6/2022,1149
6/7/2022,1149
6/8/2022,1148
6/9/2022,1139
6/10/2022,1148
6/11/2022,1148
6/12/2022,1148
6/13/2022,1139
6/14/2022,1135
6/15/2022,1145
6/16/2022,1140
6/17/2022,1145
6/18/2022,1149
6/19/2022,1149
6/20/2022,1149
6/21/2022,1149
6/22/2022,1152
6/23/2022,1152
6/24/2022,1149
6/25/2022,1149
6/26/2022,1149
6/27/2022,1149
6/28/2022,1149
6/29/2022,1137
6/30/2022,1131
7/1/2022,1131
7/2/2022,1131
7/3/2022,1132
7/4/2022,1120
7/5/2022,1097
7/6/2022,1097
7/7/2022,1126
7/8/2022,1143
7/9/2022,1143
7/10/2022,1143
7/11/2022,1143
7/12/2022,1143
7/13/2022,1143
7/14/2022,1131
7/15/2022,1131
7/16/2022,1131
7/17/2022,1131
7/18/2022,1114
7/19/2022,1118
7/20/2022,1126
7/21/2022,1126
7/22/2022,1131
7/23/2022,1128
7/24/2022,1128
7/25/2022,1128
7/26/2022,1128
7/27/2022,1128
7/28/2022,1135
7/29/2022,1143
7/30/2022,1160
7/31/2022,1170
8/1/2022,1177
8/2/2022,1177
8/3/2022,1183
8/4/2022,1223
8/5/2022,1217
8/6/2022,1217
8/7/2022,1217
8/8/2022,1225
8/9/2022,1209
8/10/2022,1200
8/11/2022,1186
8/12/2022,1207
8/13/2022,1214
8/14/2022,1214
8/15/2022,1214
8/16/2022,1245
8/17/2022,1234
8/18/2022,1245
8/19/2022,1234
8/20/2022,1234
8/21/2022,1234
8/22/2022,1234
8/23/2022,1234
8/24/2022,1228
8/25/2022,1233
8/26/2022,1233
8/27/2022,1233
8/28/2022,1240
8/29/2022,1240
8/30/2022,1254
8/31/2022,1269
9/1/2022,1257
9/2/2022,1274
9/3/2022,1274
9/4/2022,1274
9/5/2022,1263
9/6/2022,1263
9/7/2022,1263
9/8/2022,1274
9/9/2022,1274
9/10/2022,1274
9/11/2022,1274
9/12/2022,1274
9/13/2022,1274
9/14/2022,1273
9/15/2022,1274
9/16/2022,1274
9/17/2022,1274
9/18/2022,1274
9/19/2022,1278
9/20/2022,1282
9/21/2022,1312
9/22/2022,1302
9/23/2022,1308
9/24/2022,1291
9/25/2022,1291
9/26/2022,1291
9/27/2022,1288
9/28/2022,1286
9/29/2022,1288
9/30/2022,1286
10/1/2022,1274
10/2/2022,1263
10/3/2022,1234
10/4/2022,1252
10/5/2022,1252
10/6/2022,1223
10/7/2022,1223
10/8/2022,1246
10/9/2022,1246
10/10/2022,1257
10/11/2022,1269
10/12/2022,1274
10/13/2022,1280
10/14/2022,1280
10/15/2022,1274
10/16/2022,1274
10/17/2022,1274
10/18/2022,1269
10/19/2022,1269
10/20/2022,1269
10/21/2022,1269
10/22/2022,1269
10/23/2022,1269
10/24/2022,1286
10/25/2022,1291
10/26/2022,1300
10/27/2022,1371
10/28/2022,1403
10/29/2022,1394
10/30/2022,1394
10/31/2022,1382
11/1/2022,1383
11/2/2022,1383
11/3/2022,1383
11/4/2022,1383
11/5/2022,1383
11/6/2022,1383
11/7/2022,1383
11/8/2022,1388
11/9/2022,1388
11/10/2022,1388
11/11/2022,1434
11/12/2022,1451
11/13/2022,1451
11/14/2022,1440
11/15/2022,1446
11/16/2022,1446
11/17/2022,1454
11/18/2022,1457
11/19/2022,1474
11/20/2022,1474
11/21/2022,1497
11/22/2022,1537
11/23/2022,1560
11/24/2022,1571
11/25/2022,1611
11/26/2022,1651
11/27/2022,1668.5
11/28/2022,1657
11/29/2022,1668.5
11/30/2022,1697
12/1/2022,1748
12/2/2022,1788
12/3/2022,1788
12/4/2022,1966
12/5/2022,1966
12/6/2022,2034
12/7/2022,1948
12/8/2022,1886
12/9/2022,1943
12/10/2022,1943
12/11/2022,1943
12/12/2022,1943
12/13/2022,1943
12/14/2022,1943
12/15/2022,1943
12/16/2022,1943
12/17/2022,2057
12/18/2022,2057
12/19/2022,1943
12/20/2022,1977
12/21/2022,2000
12/22/2022,2000
12/23/2022,2000
12/24/2022,1914
12/25/2022,1886
12/26/2022,1840
12/27/2022,1794
12/28/2022,1794
12/29/2022,1823
12/30/2022,1943
12/31/2022,1943
1/1/2023,1920
1/2/2023,1903
1/3/2023,1903
1/4/2023,2000
1/5/2023,2000
1/6/2023,2029
1/7/2023,2029
1/8/2023,2029
1/9/2023,2069
1/10/2023,1966
1/11/2023,1966
1/12/2023,1966
1/13/2023,1966
1/14/2023,1966
1/15/2023,1966
1/16/2023,2069
1/17/2023,2057
1/18/2023,2057
1/19/2023,2057
1/20/2023,2057
1/21/2023,2034
1/22/2023,2034
1/23/2023,2034
1/24/2023,2023
1/25/2023,2017
1/26/2023,2017
1/27/2023,2011
1/28/2023,2006
1/29/2023,2000
1/30/2023,1989
1/31/2023,1943
2/1/2023,2011
2/2/2023,2011
2/3/2023,1972
2/4/2023,1954
2/5/2023,1966
2/6/2023,1966
2/7/2023,1960
2/8/2023,1960
2/9/2023,1977
2/10/2023,1972
2/11/2023,1966
2/12/2023,1966
2/13/2023,1960
2/14/2023,1960
2/15/2023,1943
2/16/2023,1937
2/17/2023,1937
2/18/2023,1932
2/19/2023,1932
2/20/2023,1932
2/21/2023,1932
2/22/2023,1932
2/23/2023,1926
2/24/2023,1926
2/25/2023,1926
2/26/2023,1926
2/27/2023,1918
2/28/2023,1918
3/1/2023,1977
3/2/2023,1988
3/3/2023,2046
3/4/2023,2093
3/5/2023,2097
3/6/2023,2114
3/7/2023,2097
3/8/2023,2097
3/9/2023,2114
3/10/2023,2131
3/11/2023,2131
3/12/2023,2131
3/13/2023,2131
3/14/2023,2194
3/15/2023,2194
3/16/2023,2194
3/17/2023,2309
3/18/2023,2411
3/19/2023,2411
3/20/2023,2331
3/21/2023,2251
3/22/2023,2320
3/23/2023,2320
3/24/2023,2343
3/25/2023,2308.5
3/26/2023,2308.5
3/27/2023,2354
3/28/2023,2434
3/29/2023,2434
3/30/2023,2514
3/31/2023,2583
4/1/2023,2537
4/2/2023,2492
4/3/2023,2492
4/4/2023,2514
4/5/2023,2549
4/6/2023,2480
4/7/2023,2480
4/8/2023,2474
4/9/2023,2474
4/10/2023,2474
4/11/2023,2526
4/12/2023,2571
4/13/2023,2605
4/14/2023,2605
4/15/2023,2600
4/16/2023,2668.5
4/17/2023,2686
4/18/2023,2743
4/19/2023,2788
4/20/2023,2743
4/21/2023,2743
4/22/2023,2743
4/23/2023,2823
4/24/2023,2869
4/25/2023,2869
4/26/2023,2869
4/27/2023,2869
4/28/2023,2869
4/29/2023,2869
4/30/2023,2869
5/1/2023,2869
5/2/2023,2869
5/3/2023,2869
5/4/2023,2869
5/5/2023,2869
5/6/2023,2869
5/7/2023,2869
5/8/2023,2869
5/9/2023,2937
5/10/2023,2931
5/11/2023,2880
5/12/2023,2800
5/13/2023,2800
5/14/2023,2715
5/15/2023,2645
5/16/2023,2594
5/17/2023,2537
5/18/2023,2537
5/19/2023,2640
5/20/2023,2771
5/21/2023,2845
5/22/2023,2811
5/23/2023,2771
5/24/2023,2720
5/25/2023,2675
5/26/2023,2714
5/27/2023,2709
5/28/2023,2697
5/29/2023,2663
5/30/2023,2685
5/31/2023,2674
6/1/2023,2702
6/2/2023,2697
6/3/2023,2685
6/4/2023,2685
6/5/2023,2685
6/6/2023,2685
6/7/2023,2674
6/8/2023,2674
6/9/2023,2674
6/10/2023,2669
6/11/2023,2663
6/12/2023,2628
6/13/2023,2617
6/14/2023,2606
6/15/2023,2612
6/16/2023,2612
6/17/2023,2577
6/18/2023,2577
6/19/2023,2514
6/20/2023,2514
6/21/2023,2502
6/22/2023,2526
6/23/2023,2526
6/24/2023,2571
6/25/2023,2577
6/26/2023,2582
6/27/2023,2628
6/28/2023,2628
6/29/2023,2628
6/30/2023,2628
7/1/2023,2577
7/2/2023,2548
7/3/2023,2543
7/4/2023,2537
7/5/2023,2514
7/6/2023,2491
7/7/2023,2514
7/8/2023,2497
7/9/2023,2497
7/10/2023,2485
7/11/2023,2485
7/12/2023,2514
7/13/2023,2514
7/14/2023,2508
7/15/2023,2508
7/16/2023,2508
7/17/2023,2486
7/18/2023,2486
7/19/2023,2474
7/20/2023,2480
7/21/2023,2480
7/22/2023,2480
7/23/2023,2474
7/24/2023,2469
7/25/2023,2469
7/26/2023,2469
7/27/2023,2469
7/28/2023,2469
7/29/2023,2469
7/30/2023,2469
7/31/2023,2469
8/1/2023,2469
8/2/2023,2469
8/3/2023,2469
8/4/2023,2469
8/5/2023,2469
8/6/2023,2469
8/7/2023,2457
8/8/2023,2469
8/9/2023,2469
8/10/2023,2491
8/11/2023,2651
8/12/2023,2709
8/13/2023,2651
8/14/2023,2628
8/15/2023,2571
8/16/2023,2582
8/17/2023,2640
8/18/2023,2606
8/19/2023,2606
8/20/2023,2606
8/21/2023,2582
8/22/2023,2600
8/23/2023,2628
8/24/2023,2617
8/25/2023,2600
8/26/2023,2589
8/27/2023,2589
8/28/2023,2554
8/29/2023,2526
8/30/2023,2526
8/31/2023,2526
9/1/2023,2537
9/2/2023,2526
9/3/2023,2526
9/4/2023,2526
9/5/2023,2514
9/6/2023,2526
9/7/2023,2537
9/8/2023,2514
9/9/2023,2514
9/10/2023,2514
9/11/2023,2514
9/12/2023,2514
9/13/2023,2514
9/14/2023,2514
9/15/2023,2509
9/16/2023,2509
9/17/2023,2509
9/18/2023,2526
9/19/2023,2543
9/20/2023,2571
9/21/2023,2531
9/22/2023,2531
9/23/2023,2531
9/24/2023,2526
9/25/2023,2526
9/26/2023,2526
9/27/2023,2526
9/28/2023,2526
9/29/2023,2509
9/30/2023,2480
10/1/2023,2480
10/2/2023,2480
10/3/2023,2469
10/4/2023,2469
10/5/2023,2469
10/6/2023,2469
10/7/2023,2469
10/8/2023,2491
10/9/2023,2571
10/10/2023,2617
10/11/2023,2680
10/12/2023,2652
10/13/2023,2697
10/14/2023,2686
10/15/2023,2697
10/16/2023,2663
10/17/2023,2697
10/18/2023,2709
10/19/2023,2771
10/20/2023,2800
10/21/2023,2777
10/22/2023,2857
10/23/2023,2840
10/24/2023,2937
10/25/2023,2943
10/26/2023,2891
10/27/2023,2960
10/28/2023,2948
10/29/2023,2954
10/30/2023,2954
10/31/2023,2937
11/1/2023,2937
11/2/2023,2926
11/3/2023,2937
11/4/2023,2937
11/5/2023,2948
11/6/2023,2948
11/7/2023,3000
11/8/2023,2994
11/9/2023,2994
11/10/2023,2994
11/11/2023,2954
11/12/2023,2972
11/13/2023,2994
11/14/2023,3017
11/15/2023,3085
11/16/2023,3085
11/17/2023,3103
11/18/2023,3114
11/19/2023,3114
11/20/2023,3154
11/21/2023,3188
11/22/2023,3142
11/23/2023,3142
11/24/2023,3160
11/25/2023,3189
11/26/2023,3189
11/27/2023,3211
11/28/2023,3211
11/29/2023,3223
11/30/2023,3177
12/1/2023,3223
12/2/2023,3200
12/3/2023,3200
12/4/2023,3194
12/5/2023,3194
12/6/2023,3171
12/7/2023,3177
12/8/2023,3177
12/9/2023,3182
12/10/2023,3189
12/11/2023,3182
12/12/2023,3200
12/13/2023,3228
12/14/2023,3280
12/15/2023,3303
12/16/2023,3292
12/17/2023,3292
12/18/2023,3292
12/19/2023,3377
12/20/2023,3406
12/21/2023,3406
12/22/2023,3486
12/23/2023,3486
12/24/2023,3525
12/25/2023,3662
12/26/2023,3806
12/27/2023,3691
12/28/2023,3531
12/29/2023,3577
12/30/2023,3634
12/31/2023,3634
